handle,new_title,new_title_len,note
nike-dunk,"Nike Dunk Suisse | Low, High & SB Panda, Travis Scott",54,"840 products; ranks dunk 300@11, nike dunk 150@29; add geo + keep model keywords"
supreme,Supreme Suisse | Box Logo & Streetwear Authentique,50,"287 products; ranks supreme 2400@29 (hard KD but geo helps CH intent)"
adidas-handball-spezial,Adidas Handball Spezial Suisse | Retro Terrace,46,"235 products; ranks adidas spezial 7100@29; matches sibling adidas-spezial title"
nike-air-force-1-low,Nike Air Force 1 Low Suisse | AF1 Authentiques,46,"172 products; high-volume AF1 term, geo strength"
chrome-hearts,"Chrome Hearts Suisse | Hoodies, Bijoux & Lunettes",49,"140 products; ranks chrome hearts 4300@24; add geo"
travis-scott-apparel,Travis Scott Vêtements Suisse | Merch & Apparel,47,"112 products; apparel line distinct from sneaker collab"
active-clothing,Vêtements de Sport Suisse | Sportswear Premium,46,"292 products; FR + geo instead of English generic"
new-balance-327,New Balance 327 Suisse | Retro Runner Authentique,49,"67 products"
adidas-superstar,Adidas Superstar Suisse | Shell-Toe Iconique,44,"48 products"
adidas-xlg-runner,Adidas XLG Runner Suisse | Chunky Street Style,46,"41 products"
new-balance-1000,New Balance 1000 Suisse | Heritage Runner,41,"40 products"
moonswatch,MoonSwatch Suisse | Swatch x Omega Authentique,46,"34 products; ranks swatch snoopy 150@7"
nike-x-nocta,Nike x NOCTA Suisse | Sneakers Drake Authentiques,49,"21 products; ranks nocta terms"
nike-air-force-1-mid,Nike Air Force 1 Mid Suisse | AF1 Mid Authentique,49,"21 products"
