handle,products_count,current_title,current_length,new_title,new_length,method,note
toutes-nos-paires,13958,Toutes nos sneakers (catalogue complet) | Livraison Suisse – Resell Lausanne,76,Toutes nos sneakers (catalogue complet) | Livraison Suisse,58,suffix_stripped,removed trailing brand suffix (76 -> 58 chars)
adidas-samba,563,Adidas Samba Suisse | Sneakers Iconiques & Nouveautés - Resell Lausanne,71,Adidas Samba Suisse | Sneakers Iconiques & Nouveautés,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
adidas,2659,"Adidas Sneakers Suisse | Samba, Gazelle, Campus & Plus - Resell Lausanne",72,"Adidas Sneakers Suisse | Samba, Gazelle, Campus & Plus",54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
adidas-gazelle,508,Adidas Gazelle Suisse | Sneakers Rétro Intemporelles - Resell Lausanne,70,Adidas Gazelle Suisse | Sneakers Rétro Intemporelles,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
9060,182,New Balance 9060 Suisse | Sneakers Y2K Futuristes - Resell Lausanne,67,New Balance 9060 Suisse | Sneakers Y2K Futuristes,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
vomero,220,Nike Vomero 5 Suisse | Sneakers Running Rétro-Tech - Resell Lausanne,68,Nike Vomero 5 Suisse | Sneakers Running Rétro-Tech,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
puma-speedcat,55,Puma Speedcat Suisse | Sneakers Racing Iconiques - Resell Lausanne,66,Puma Speedcat Suisse | Sneakers Racing Iconiques,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
chaussure-de-basket,103,Chaussures de Basketball Suisse | Performance & Style - Resell Lausanne,71,Chaussures de Basketball Suisse | Performance & Style,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
nike-air-max-one,129,Nike Air Max 1 Suisse | Sneakers Iconiques Air Visible - Resell Lausanne,72,Nike Air Max 1 Suisse | Sneakers Iconiques Air Visible,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
adidas-campus,64,Adidas Campus Suisse | Sneakers Emblématiques Années 80 - Resell Lausanne,73,Adidas Campus Suisse | Sneakers Emblématiques Années 80,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
