product_url,product_title,issue_type,missing_data,recommended_fix,automation_possible,priority
# NOTE: Template + gap taxonomy. Real per-product rows are generated by scripts/generate_seo_metadata_plan.py once a Shopify product export (CSV/Matrixify) is placed in audit-inputs/. Rows below illustrate each issue_type.,,,,,,
[example]/products/nike-dunk-low-panda,Nike Dunk Low Panda,missing_metafield,style_code;color;model,Parse from title + set custom.style_code/color/model,yes,P1
[example]/products/aj4-bred,Air Jordan 4 Bred,missing_metafield,primary_collection_handle,Set custom.primary_collection_handle=air-jordan-4 for breadcrumb,yes,P1
[example]/products/imported-long-title-xxx,"NIKE DUNK LOW RETRO WHITE BLACK PANDA MEN'S SHOE DD1391-100",weak_title,clean title,Normalize to 'Nike Dunk Low Panda'; move code to metafield,partial,P1
[example]/products/some-tee,Essentials Tee,missing_meta_description,meta_description,Generate from formula (brand+item+colorway+trust),yes,P2
[example]/products/dup-title-a,Air Jordan 1 Low,duplicate_title,unique colorway in title,Append colorway to disambiguate variants/products,partial,P2
[example]/products/no-alt-images,New Balance 9060 Sea Salt,missing_image_alt,image alt,Title fallback active; set descriptive alt per view in Admin,partial,P3
[example]/products/no-gender,Samba OG,missing_metafield,gender,Set custom.gender for schema audience + gender collections,yes,P2
[example]/products/no-colorway,Gel-NYC,missing_metafield,colorway,Derive colorway from title tail; else leave blank (don't invent),partial,P2
[example]/products/thin-desc,Yeezy Slide,thin_description,description,Generate templated description blocks from metafields,yes,P2
[example]/products/lang-mixed,Hoodie Essentials,language_mixing,FR/EN mixed body,Standardize FR default; translate via Translate & Adapt,partial,P3
[example]/products/missing-release,AJ1 High,missing_metafield,release_date,Backfill custom.release_date where known; omit schema field if unknown,partial,P3
